全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
242012,三重県,ミエケン,Mie,,,,津市,ツシ,Tsu-shi,,,,1947-04-17,,
242021,三重県,ミエケン,Mie,,,,四日市市,ヨッカイチシ,Yokkaichi-shi,,,,1947-04-17,,
242039,三重県,ミエケン,Mie,,,,伊勢市,イセシ,Ise-shi,,,,1947-04-17,,
242047,三重県,ミエケン,Mie,,,,松阪市,マツサカシ,Matsusaka-shi,,,,1947-04-17,,
242055,三重県,ミエケン,Mie,,,,桑名市,クワナシ,Kuwana-shi,,,,1947-04-17,,
242071,三重県,ミエケン,Mie,,,,鈴鹿市,スズカシ,Suzuka-shi,,,,1947-04-17,,
242080,三重県,ミエケン,Mie,,,,名張市,ナバリシ,Nabari-shi,,,,1947-04-17,,
242098,三重県,ミエケン,Mie,,,,尾鷲市,オワセシ,Owase-shi,,,,1947-04-17,,
242101,三重県,ミエケン,Mie,,,,亀山市,カメヤマシ,Kameyama-shi,,,,1947-04-17,,
242110,三重県,ミエケン,Mie,,,,鳥羽市,トバシ,Toba-shi,,,,1947-04-17,,
242128,三重県,ミエケン,Mie,,,,熊野市,クマノシ,Kumano-shi,,,,1947-04-17,,
242144,三重県,ミエケン,Mie,,,,いなべ市,イナベシ,Inabe-shi,,,,1947-04-17,,
242152,三重県,ミエケン,Mie,,,,志摩市,シマシ,Shima-shi,,,,1947-04-17,,
242161,三重県,ミエケン,Mie,,,,伊賀市,イガシ,Iga-shi,,,,1947-04-17,,
243035,三重県,ミエケン,Mie,桑名郡,クワナグン,Kuwana-gun,木曽岬町,キソサキチョウ,Kisosaki-cho,,,,1947-04-17,,
243248,三重県,ミエケン,Mie,員弁郡,イナベグン,Inabe-gun,東員町,トウインチョウ,Toin-cho,,,,1947-04-17,,
243418,三重県,ミエケン,Mie,三重郡,ミエグン,Mie-gun,菰野町,コモノチョウ,Komono-cho,,,,1947-04-17,,
243434,三重県,ミエケン,Mie,三重郡,ミエグン,Mie-gun,朝日町,アサヒチョウ,Asahi-cho,,,,1947-04-17,,
243442,三重県,ミエケン,Mie,三重郡,ミエグン,Mie-gun,川越町,カワゴエチョウ,Kawagoe-cho,,,,1947-04-17,,
244414,三重県,ミエケン,Mie,多気郡,タキグン,Taki-gun,多気町,タキチョウ,Taki-cho,,,,1947-04-17,,
244422,三重県,ミエケン,Mie,多気郡,タキグン,Taki-gun,明和町,メイワチョウ,Meiwa-cho,,,,1947-04-17,,
244431,三重県,ミエケン,Mie,多気郡,タキグン,Taki-gun,大台町,オオダイチョウ,Odai-cho,,,,1947-04-17,,
244619,三重県,ミエケン,Mie,度会郡,ワタライグン,Watarai-gun,玉城町,タマキチョウ,Tamaki-cho,,,,1947-04-17,,
244708,三重県,ミエケン,Mie,度会郡,ワタライグン,Watarai-gun,度会町,ワタライチョウ,Watarai-cho,,,,1947-04-17,,
244716,三重県,ミエケン,Mie,度会郡,ワタライグン,Watarai-gun,大紀町,タイキチョウ,Taiki-cho,,,,1947-04-17,,
244724,三重県,ミエケン,Mie,度会郡,ワタライグン,Watarai-gun,南伊勢町,ミナミイセチョウ,Minamiise-cho,,,,1947-04-17,,
245437,三重県,ミエケン,Mie,北牟婁郡,キタムログン,Kitamuro-gun,紀北町,キホクチョウ,Kihoku-cho,,,,1947-04-17,,
245615,三重県,ミエケン,Mie,南牟婁郡,ミナミムログン,Minamimuro-gun,御浜町,ミハマチョウ,Mihama-cho,,,,1947-04-17,,
245623,三重県,ミエケン,Mie,南牟婁郡,ミナミムログン,Minamimuro-gun,紀宝町,キホウチョウ,Kiho-cho,,,,1947-04-17,,
