全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
422011,長崎県,ナガサキケン,Nagasaki,,,,長崎市,ナガサキシ,Nagasaki-shi,,,,1947-04-17,,
422029,長崎県,ナガサキケン,Nagasaki,,,,佐世保市,サセボシ,Sasebo-shi,,,,1947-04-17,,
422037,長崎県,ナガサキケン,Nagasaki,,,,島原市,シマバラシ,Shimabara-shi,,,,1947-04-17,,
422045,長崎県,ナガサキケン,Nagasaki,,,,諫早市,イサハヤシ,Isahaya-shi,,,,1947-04-17,,
422053,長崎県,ナガサキケン,Nagasaki,,,,大村市,オオムラシ,Omura-shi,,,,1947-04-17,,
422070,長崎県,ナガサキケン,Nagasaki,,,,平戸市,ヒラドシ,Hirado-shi,,,,1947-04-17,,
422088,長崎県,ナガサキケン,Nagasaki,,,,松浦市,マツウラシ,Matsura-shi,,,,1947-04-17,,
422096,長崎県,ナガサキケン,Nagasaki,,,,対馬市,ツシマシ,Tsushima-shi,,,,1947-04-17,,
422100,長崎県,ナガサキケン,Nagasaki,,,,壱岐市,イキシ,Iki-shi,,,,1947-04-17,,
422118,長崎県,ナガサキケン,Nagasaki,,,,五島市,ゴトウシ,Goto-shi,,,,1947-04-17,,
422126,長崎県,ナガサキケン,Nagasaki,,,,西海市,サイカイシ,Saikai-shi,,,,1947-04-17,,
422134,長崎県,ナガサキケン,Nagasaki,,,,雲仙市,ウンゼンシ,Unzen-shi,,,,1947-04-17,,
422142,長崎県,ナガサキケン,Nagasaki,,,,南島原市,ミナミシマバラシ,Minamishimabara-shi,,,,1947-04-17,,
423076,長崎県,ナガサキケン,Nagasaki,西彼杵郡,ニシソノギグン,Nishisonogi-gun,長与町,ナガヨチョウ,Nagayo-cho,,,,1947-04-17,,
423084,長崎県,ナガサキケン,Nagasaki,西彼杵郡,ニシソノギグン,Nishisonogi-gun,時津町,トギツチョウ,Togitsu-cho,,,,1947-04-17,,
423211,長崎県,ナガサキケン,Nagasaki,東彼杵郡,ヒガシソノギグン,Higashisonogi-gun,東彼杵町,ヒガシソノギチョウ,Higashisonogi-cho,,,,1947-04-17,,
423220,長崎県,ナガサキケン,Nagasaki,東彼杵郡,ヒガシソノギグン,Higashisonogi-gun,川棚町,カワタナチョウ,Kawatana-cho,,,,1947-04-17,,
423238,長崎県,ナガサキケン,Nagasaki,東彼杵郡,ヒガシソノギグン,Higashisonogi-gun,波佐見町,ハサミチョウ,Hasami-cho,,,,1947-04-17,,
423831,長崎県,ナガサキケン,Nagasaki,北松浦郡,キタマツウラグン,Kitamatsura-gun,小値賀町,オヂカチョウ,Ojika-cho,,,,1947-04-17,,
423912,長崎県,ナガサキケン,Nagasaki,北松浦郡,キタマツウラグン,Kitamatsura-gun,佐々町,サザチョウ,Saza-cho,,,,1947-04-17,,
424111,長崎県,ナガサキケン,Nagasaki,南松浦郡,ミナミマツウラグン,Minamimatsura-gun,新上五島町,シンカミゴトウチョウ,Shinkamigoto-cho,,,,1947-04-17,,
